RefSeq mRNA ID	NCBI gene ID	Gene name
NM_001350312	2037	EPB41L2
NM_001350313	2037	EPB41L2
NM_001350302	2037	EPB41L2
NM_001431	2037	EPB41L2
NM_001135555	2037	EPB41L2
NM_001135554	2037	EPB41L2
NM_001350306	2037	EPB41L2
NM_001350305	2037	EPB41L2
NM_001350304	2037	EPB41L2
NM_001199388	2037	EPB41L2
NM_001114134	2038	EPB42
NM_000119	2038	EPB42
NM_001323384	2039	DMTN
NM_001114139	2039	DMTN
NM_001323398	2039	DMTN
NM_001323387	2039	DMTN
NM_001323401	2039	DMTN
NM_001323400	2039	DMTN
NM_001323388	2039	DMTN
NM_001302817	2039	DMTN
NM_001323399	2039	DMTN
NM_001323383	2039	DMTN
NM_001323382	2039	DMTN
NM_001323397	2039	DMTN
NM_001323391	2039	DMTN
NM_001323378	2039	DMTN
NM_001114136	2039	DMTN
NM_001323390	2039	DMTN
NM_001323389	2039	DMTN
NM_001323393	2039	DMTN
NM_001323395	2039	DMTN
NM_001323380	2039	DMTN
NM_001114135	2039	DMTN
NM_001323396	2039	DMTN
NM_001323381	2039	DMTN
NM_001323392	2039	DMTN
NM_001978	2039	DMTN
NM_001323394	2039	DMTN
NM_001302816	2039	DMTN
NM_001114138	2039	DMTN
NM_001114137	2039	DMTN
NM_001323385	2039	DMTN
NM_004099	2040	STOM
NM_001270526	2040	STOM
NM_198194	2040	STOM
NM_001270527	2040	STOM
NM_005232	2041	EPHA1
NM_005233	2042	EPHA3
NM_182644	2042	EPHA3
NM_001304536	2043	EPHA4
NM_001304537	2043	EPHA4
NM_004438	2043	EPHA4
NM_182472	2044	EPHA5
NM_004439	2044	EPHA5
NM_001281767	2044	EPHA5
NM_001281766	2044	EPHA5
NM_001281765	2044	EPHA5
NM_001318761	2044	EPHA5
NM_004440	2045	EPHA7
NM_001288629	2045	EPHA7
NM_001288630	2045	EPHA7
NM_001006943	2046	EPHA8
NM_020526	2046	EPHA8
NM_004441	2047	EPHB1
NM_017449	2048	EPHB2
NM_001309193	2048	EPHB2
NM_004442	2048	EPHB2
NM_001309192	2048	EPHB2
NM_004443	2049	EPHB3
NM_004444	2050	EPHB4
NM_001280794	2051	EPHB6
NM_004445	2051	EPHB6
NM_001280795	2051	EPHB6
NM_001280794	2051	EPHB6
NM_001280795	2051	EPHB6
NM_004445	2051	EPHB6
NM_000120	2052	EPHX1
NM_001136018	2052	EPHX1
NM_001291163	2052	EPHX1
NM_001979	2053	EPHX2
NM_001256483	2053	EPHX2
NM_001256482	2053	EPHX2
NM_001256484	2053	EPHX2
NM_001980	2054	STX2
NM_194356	2054	STX2
NM_018941	2055	CLN8
NM_018941	2055	CLN8
NM_000799	2056	EPO
NM_000121	2057	EPOR
NM_004446	2058	EPRS
NM_004447	2059	EPS8
NM_001981	2060	EPS15
NM_001159969	2060	EPS15
NM_005234	2063	NR2F6
NM_001289936	2064	ERBB2
NM_001005862	2064	ERBB2
NM_001289938	2064	ERBB2
NM_001289937	2064	ERBB2
NM_004448	2064	ERBB2
NM_001982	2065	ERBB3
NM_001005915	2065	ERBB3
NM_005235	2066	ERBB4
NM_001042599	2066	ERBB4
NM_001983	2067	ERCC1
NM_001166049	2067	ERCC1
NM_202001	2067	ERCC1
NM_001130867	2068	ERCC2
NM_000400	2068	ERCC2
NM_001432	2069	EREG
NM_001301012	2070	EYA4
NM_004100	2070	EYA4
NM_001301013	2070	EYA4
NM_172103	2070	EYA4
NM_172105	2070	EYA4
NM_000122	2071	ERCC3
NM_001303418	2071	ERCC3
NM_001303416	2071	ERCC3
NM_005236	2072	ERCC4
NM_000123	2073	ERCC5
NM_000124	2074	ERCC6
NM_001277058	2074	ERCC6
NM_001277059	2074	ERCC6
NM_170753	2074	ERCC6
NM_001312656	2077	ERF
NM_006494	2077	ERF
NM_001308402	2077	ERF
NM_001301035	2077	ERF
NM_001331025	2078	ERG
NM_182918	2078	ERG
NM_001243429	2078	ERG
NM_001243432	2078	ERG
NM_001136154	2078	ERG
NM_001136155	2078	ERG
NM_001243428	2078	ERG
NM_004449	2078	ERG
NM_001291391	2078	ERG
NM_004450	2079	ERH
NM_001433	2081	ERN1
NM_001007253	2086	ERV3-1
NM_001436	2091	FBL
NM_001436	2091	FBL
NM_001984	2098	ESD
NM_001122741	2099	ESR1
NM_001291241	2099	ESR1
NM_001291230	2099	ESR1
NM_000125	2099	ESR1
NM_001328100	2099	ESR1
NM_001122742	2099	ESR1
NM_001122740	2099	ESR1
NM_001291712	2100	ESR2
NM_001291723	2100	ESR2
NM_001214902	2100	ESR2
NM_001271876	2100	ESR2
NM_001437	2100	ESR2
NM_001271877	2100	ESR2
NM_001040275	2100	ESR2
NM_001282451	2101	ESRRA
NM_004451	2101	ESRRA
NM_001282450	2101	ESRRA
NM_004452	2103	ESRRB
NM_001350125	2104	ESRRG
NM_001134285	2104	ESRRG
NM_001243511	2104	ESRRG
NM_001243518	2104	ESRRG
NM_001438	2104	ESRRG
NM_001243514	2104	ESRRG
NM_001243505	2104	ESRRG
NM_001243513	2104	ESRRG
NM_001243506	2104	ESRRG
NM_206595	2104	ESRRG
NM_001243510	2104	ESRRG
NM_001243507	2104	ESRRG
NM_001243512	2104	ESRRG
NM_001243509	2104	ESRRG
NM_001243519	2104	ESRRG
NM_001243515	2104	ESRRG
NM_001350123	2104	ESRRG
NM_001350124	2104	ESRRG
NM_206594	2104	ESRRG
NM_001256302	2107	ETF1
NM_001291975	2107	ETF1
NM_004730	2107	ETF1
NM_001291974	2107	ETF1
NM_001282185	2107	ETF1
NM_000126	2108	ETFA
NM_001127716	2108	ETFA
NM_001014763	2109	ETFB
NM_001985	2109	ETFB
NM_004453	2110	ETFDH
NM_001281737	2110	ETFDH
NM_001281738	2110	ETFDH
NM_001143820	2113	ETS1
NM_001330451	2113	ETS1
NM_005238	2113	ETS1
NM_001162422	2113	ETS1
NM_001256295	2114	ETS2
NM_005239	2114	ETS2
NM_004956	2115	ETV1
NM_001163147	2115	ETV1
NM_001163150	2115	ETV1
NM_001163149	2115	ETV1
NM_001163151	2115	ETV1
NM_001163148	2115	ETV1
NM_001163152	2115	ETV1
NM_001304549	2116	ETV2
NM_001300974	2116	ETV2
NM_014209	2116	ETV2
NM_005240	2117	ETV3
NM_001145312	2117	ETV3
NM_001079675	2118	ETV4
NM_001261437	2118	ETV4
NM_001261439	2118	ETV4
NM_001261438	2118	ETV4
NM_001986	2118	ETV4
NM_004454	2119	ETV5
NM_001987	2120	ETV6
NM_001306090	2121	EVC
NM_153717	2121	EVC
NM_001306092	2121	EVC
NM_001164000	2122	MECOM
NM_001163999	2122	MECOM
NM_004991	2122	MECOM
NM_001105078	2122	MECOM
NM_001105077	2122	MECOM
NM_005241	2122	MECOM
NM_001205194	2122	MECOM
NM_001003927	2123	EVI2A
NM_014210	2123	EVI2A
NM_006495	2124	EVI2B
NM_001320747	2125	EVPL
NM_001988	2125	EVPL
NM_001304519	2128	EVX1
NM_001304520	2128	EVX1
NM_001989	2128	EVX1
NM_005243	2130	EWSR1
NM_001163285	2130	EWSR1
NM_013986	2130	EWSR1
NM_001163287	2130	EWSR1
NM_001163286	2130	EWSR1
NM_000127	2131	EXT1
NM_207122	2132	EXT2
NM_001178083	2132	EXT2
NM_000401	2132	EXT2
NM_004455	2134	EXTL1
NM_001439	2135	EXTL2
NM_001033025	2135	EXTL2
NM_001261440	2135	EXTL2
NM_001261441	2135	EXTL2
NM_001261442	2135	EXTL2
NM_001440	2137	EXTL3
NM_172058	2138	EYA1
NM_000503	2138	EYA1
NM_001288574	2138	EYA1
NM_001288575	2138	EYA1
NM_172059	2138	EYA1
NM_172060	2138	EYA1
NM_005244	2139	EYA2
NM_172110	2139	EYA2
NM_001990	2140	EYA3
NM_001282560	2140	EYA3
NM_001282562	2140	EYA3
NM_001282561	2140	EYA3
NM_001991	2145	EZH1
NM_001321081	2145	EZH1
NM_001321079	2145	EZH1
NM_001321082	2145	EZH1
NM_152998	2146	EZH2
NM_001203247	2146	EZH2
NM_004456	2146	EZH2
NM_001203249	2146	EZH2
NM_001203248	2146	EZH2
NM_000506	2147	F2
NM_001311257	2147	F2
NM_001311313	2149	F2R
NM_001992	2149	F2R
NM_005242	2150	F2RL1
NM_004101	2151	F2RL2
NM_001256566	2151	F2RL2
NM_001993	2152	F3
NM_001178096	2152	F3
NM_000130	2153	F5
NM_019616	2155	F7
NM_000131	2155	F7
