raw_ids	SYMBOL	GENENAME
NM_001026441	T06A4.3	Peptidase M14 carboxypeptidase A domain-containing protein;ShKT domain-containing protein
NM_001380615		
NM_001383286	zfh-2	Zinc Finger and Homeobox;Zinc finger homeobox protein 4;Zinc finger protein
NM_058381	ZC123.1	Sperm mitochondrial-associated cysteine-rich protein-like
NM_058382	cdk-14	Protein kinase domain-containing protein
NM_058384	zfr-1	DZF domain-containing protein
NM_001383315	pde-6	Phosphodiesterase;putative 3',5'-cyclic phosphodiesterase pde-6
NM_001383335		
NM_001380694	Y95B8A.6	Bursicon;Bursicon subunit alpha;Secreted protein
NM_001306262	him-19	FBD domain-containing protein
NM_058388	him-19	FBD domain-containing protein
NM_058389	gpa-16	Guanine nucleotide-binding protein alpha-16 subunit
NM_058390	Y95B8A.4	Protein EMP46
NM_058393	nas-30	Zinc metalloproteinase nas-30
NM_058394	nas-30	Zinc metalloproteinase nas-30
NM_058395	mig-1	Frizzled-4
NM_001026573	mig-1	Frizzled-4
NM_001383432		
NM_058397	cutl-20	ZP domain-containing protein
NM_058398	shc-1	SHC-transforming protein homolog 1
NM_001383442		
NM_001383445	hmbx-1	Homeobox-containing protein 1
NM_058403	C54G6.3	L-serine-phosphatidylethanolamine phosphatidyltransferase
NM_058404	C54G6.2	C-CAP/cofactor C-like domain-containing protein;TBCC domain-containing protein 1
NM_058405	madf-6	MADF domain-containing protein
NM_001306269	C54G6.8	EB domain-containing protein
NM_170795	spp-17	Saposin B-type domain-containing protein
NM_058407	mrpl-38	Large ribosomal subunit protein mL38
NM_058408	spd-1	Protein regulator of cytokinesis 1
NM_001306328	Y34D9A.3	MIF4G domain-containing protein;THO complex subunit 2;TPR_REGION domain-containing protein;Uncharacterized protein
NM_001306323	Y34D9A.3	MIF4G domain-containing protein;THO complex subunit 2;TPR_REGION domain-containing protein;Uncharacterized protein
NM_001306327	Y34D9A.3	MIF4G domain-containing protein;THO complex subunit 2;TPR_REGION domain-containing protein;Uncharacterized protein
NM_058411	glrx-10	Glutaredoxin-1
NM_001083150	Y34D9A.8	Conserved plasma membrane protein;Low-density lipoprotein receptor domain class A;Transmembrane protein
NM_001380892	Y34D9A.8	Conserved plasma membrane protein;Low-density lipoprotein receptor domain class A;Transmembrane protein
NM_058415	vps-4	vesicle-fusing ATPase
NM_058414	npr-23	G-protein coupled receptors family 1 profile domain-containing protein
NM_001380927	gsa-1	Guanine nucleotide-binding protein G(s) subunit alpha
NM_001356798	R06A10.1	Uncharacterized protein
NM_058418	R06A10.1	Uncharacterized protein
NM_001262029	R06A10.5	Autophagy-related protein 9;RGS domain-containing protein
NM_001383583		
NM_001306271	ZK993.2	C2H2-type domain-containing protein;RING-type domain-containing protein
NM_001306273	ZK993.5	RING-type domain-containing protein
NM_058422	ceh-45	Homeobox domain-containing protein
NM_001306296	znf-236	C2H2-type domain-containing protein
NM_001381075		
NM_170799	rpl-17	Large ribosomal subunit protein uL22
NM_001381094		
NM_058427	haf-6	ABC transporter ATP-binding protein;ATP-binding cassette sub-family B member 8, mitochondrial
NM_058429	nsun-2	Doublecortin domain-containing protein;SAM-dependent MTase RsmB/NOP-type domain-containing protein;tRNA (cytosine(34)-C(5))-methyltransferase
NM_001306294	nsun-2	Doublecortin domain-containing protein;SAM-dependent MTase RsmB/NOP-type domain-containing protein;tRNA (cytosine(34)-C(5))-methyltransferase
NM_001262043	Y48G8AL.16	FIP (Fungus-Induced Protein) Related;Fungus-induced protein 1
NM_058434	Y48G8AL.12	Uncharacterized protein
NM_058435	Y48G8AL.13	TLC domain-containing protein
NM_001026608	Y48G8AL.15	nucleoside-diphosphate kinase
NM_058436	grh-1	CP2 domain-containing protein;Grainyhead-like protein 1 homolog;Grh/CP2 DB domain-containing protein
NM_001306482	grh-1	CP2 domain-containing protein;Grainyhead-like protein 1 homolog;Grh/CP2 DB domain-containing protein
NM_001356799	Y48G8AR.8	Uncharacterized protein
NM_058437	Y48G8AR.2	FYVE-type domain-containing protein
NM_001381196		
NM_001083137	K12C11.5	MADS-box domain-containing protein
NM_001262052	K12C11.3	Copper transport protein;Copper transporter
NM_001306485	K12C11.3	Copper transport protein;Copper transporter
NM_001262053	K12C11.3	Copper transport protein;Copper transporter
NM_001083138	K12C11.6	Copper transport protein
NM_001083139	K12C11.7	Copper transport protein
NM_058441	smo-1	Small ubiquitin-related modifier
NM_058442	K12C11.1	Peptidase M24 domain-containing protein;Xaa-Pro dipeptidase
NM_170800	Y92H12BL.1	TRAM domain-containing protein;Threonylcarbamoyladenosine tRNA methylthiotransferase
NM_170801	Y92H12BL.5	diphosphoinositol-polyphosphate diphosphatase
NM_058447	Y92H12BR.7	Phytanoyl-CoA hydroxylase-interacting protein-like C-terminal domain-containing protein
NM_058448	set-29	SET domain-containing protein
NM_058450	Y92H12BR.2	Chromatin target of PRMT1 protein C-terminal domain-containing protein
NM_001037901	Y92H12BR.3	Uncharacterized protein
NM_001037902	Y92H12BR.3	Uncharacterized protein
NM_058453	mrpl-15	Large ribosomal subunit protein uL15m
NM_058454	F37F2.2	putative signal recognition particle 19 kDa protein
NM_058455	spe-15	Myosin VI cargo binding domain-containing protein;Myosin motor domain-containing protein
NM_001306528	gst-25	Glutathione S-transferase
NM_058457	F47G6.3	LEM domain-containing protein
NM_058458	acs-16	AMP-dependent synthetase/ligase domain-containing protein
NM_058459	dyb-1	Dystrobrevin-1
NM_001383732		
NM_001306497	Y92H12A.5	tRNA (32-2'-O)-methyltransferase regulator THADA
NM_058460	Y92H12A.5	tRNA (32-2'-O)-methyltransferase regulator THADA
NM_001306494	ints-3	SOSS complex subunit A homolog
NM_001306363	Y92H12A.2	E3 ubiquitin-protein ligase;HECT-type E3 ubiquitin transferase
NM_058464	Y92H12A.2	E3 ubiquitin-protein ligase;HECT-type E3 ubiquitin transferase
NM_001262081	Y73E7A.3	Solute carrier family 35 member F1;Solute carrier family 35 member F2
NM_001381227	Y73E7A.3	Solute carrier family 35 member F1;Solute carrier family 35 member F2
NM_001306476	Y73E7A.3	Solute carrier family 35 member F1;Solute carrier family 35 member F2
NM_058467	cpx-1	Putative complexin-1
NM_058469	aatf-1	Protein BFR2
NM_058470	Y73E7A.6	Bladder cancer-associated protein
NM_001026658	adpr-1	WD and tetratricopeptide repeats protein 1;WD_REPEATS_REGION domain-containing protein
NM_058471	bre-4	Beta-1,4-N-acetylgalactosaminyltransferase bre-4
NM_001383737	bre-4	Beta-1,4-N-acetylgalactosaminyltransferase bre-4
NM_001047247	Y73E7A.1	Coiled-coil domain-containing protein
NM_058473	Y73E7A.8	Mucin-5AC
NM_058474	mab-20	Semaphorin-2A
NM_058475	Y71G12B.18	Methyltransferase FkbM domain-containing protein
NM_058476	pqn-88	Prion-like-(Q/N-rich)-domain-bearing protein
NM_001306523	Y71G12B.33	Conserved plasma membrane protein
NM_058477		
NM_058478	Y71G12B.17	Phosphatidylinositol transfer protein
NM_001026651	Y71G12B.23	Hemolysin-III related-domain-containing protein;Monocyte to macrophage differentiation factor
NM_001026650	Y71G12B.23	Hemolysin-III related-domain-containing protein;Monocyte to macrophage differentiation factor
NM_001262100	Y71G12B.35	DUF4476 domain-containing protein
NM_058480	drag-1	Repulsive guidance molecule B homolog drag-1
NM_058481	ubc-3	UBC core domain-containing protein;UBIQUITIN_CONJUGAT_2 domain-containing protein
NM_001383743		
NM_182058	atg-5	Autophagy-related protein 5
NM_058484	atg-5	Autophagy-related protein 5
NM_001306511	atg-5	Autophagy-related protein 5
NM_001373653	tln-1	FERM domain-containing protein;I/LWEQ domain-containing protein;Talin central domain-containing protein
NM_001383754		
NM_058485	tln-1	FERM domain-containing protein;I/LWEQ domain-containing protein;Talin central domain-containing protein
NM_058487	mppa-1	Mitochondrial-processing peptidase subunit alpha
NM_001383757		
NM_058488	Y71G12B.10	hydroxymethylglutaryl-CoA lyase
NM_170802	lin-65	ML domain-containing protein;RING-type domain-containing protein;Uncharacterized protein
NM_058490	ddx-27	RNA helicase
NM_058491	Y71G12B.25	MFS domain-containing protein;Major facilitator superfamily (MFS) profile domain-containing protein
NM_058492	mtig-1	MFS domain-containing protein
NM_058494	rml-5	NAD(P)-bd_dom domain-containing protein;NAD(P)-binding domain-containing protein
NM_058495	Y71G12B.27	Cyclin-dependent kinases regulatory subunit
NM_058496	Y71G12B.5	Apolipophorin
NM_058497	pghm-1	putative peptidylglycine alpha-hydroxylating monooxygenase 1
NM_058498	Y71G12B.3	Uncharacterized protein
NM_001026654	Y71G12B.32	FBA_2 domain-containing protein
NM_058499	Y71G12B.2	DUF38 domain-containing protein
NM_001026652	Y71G12B.30	Serine/threonine-protein phosphatase
NM_058501	chaf-2	WD_REPEATS_REGION domain-containing protein
NM_058500	chaf-2	WD_REPEATS_REGION domain-containing protein
NM_170804	C53H9.2	Large subunit GTPase 1 homolog
NM_170806	egl-30	Guanine nucleotide-binding protein subunit alpha
NM_001383770		
NM_001306428	egl-30	Guanine nucleotide-binding protein subunit alpha
NM_058506	emr-1	Emerin homolog 1
NM_058507	nlp-12	Neuropeptide-Like Protein
NM_058508	tag-96	GHMP kinase C-terminal domain-containing protein;Galactokinase
NM_001083140	M01D7.9	7TM_GPCR_Srx domain-containing protein
NM_058510	scm-1	Secretory carrier-associated membrane protein
NM_058512	tub-2	Tubby C-terminal domain-containing protein
NM_058513	Y71G12A.4	AB hydrolase-1 domain-containing protein
NM_001377686	trpp-10	Trafficking protein particle complex subunit 10
NM_001129082	trpp-10	Trafficking protein particle complex subunit 10
NM_001373675		
NM_170807	Y51F10.7	MD-2-related lipid-recognition domain-containing protein
NM_170809	hex-4	beta-N-acetylhexosaminidase
NM_001037900	Y51F10.4	Aa_trans domain-containing protein;Amino acid transporter transmembrane domain-containing protein
NM_001037899	Y51F10.4	Aa_trans domain-containing protein;Amino acid transporter transmembrane domain-containing protein
NM_170811	spe-48	UBA domain-containing protein
NM_001306469	spe-48	UBA domain-containing protein
NM_001026610	Y51F10.11	Defect at low temperature protein 1
NM_170812	Y51F10.3	EGF-like domain-containing protein
NM_170813	grif-1	RING-type domain-containing protein
NM_058515	gap-3	Ras-GAP domain-containing protein;SH2 domain-containing protein
NM_058526	rpl-27A	Large ribosomal subunit protein uL15
NM_058516	crtc-1	CREB-regulated transcription coactivator 1 homolog
NM_058517	Y20F4.4	C2H2-type domain-containing protein
NM_058521	Y37E3.1	Tetratricopeptide repeat protein 5 OB fold domain-containing protein
NM_058522	rpb-10	DNA-directed RNA polymerases I, II, and III subunit RPABC5
NM_001383786		
NM_001037898	arl-13	ADP-ribosylation factor-like protein 13B
NM_001373681	arl-13	ADP-ribosylation factor-like protein 13B
NM_001383787		
NM_001037897	arl-13	ADP-ribosylation factor-like protein 13B
NM_001381332		
NM_001381333	rpl-27A	Large ribosomal subunit protein uL15
NM_058528	phb-1	Mitochondrial prohibitin complex protein 1
NM_001381335	eif-2alpha	Eukaryotic translation initiation factor 2 subunit 1
NM_001129065	pcyt-2.1	IstB_IS21 domain-containing protein;Secreted protein;ethanolamine-phosphate cytidylyltransferase
NM_058530	pcyt-2.1	IstB_IS21 domain-containing protein;Secreted protein;ethanolamine-phosphate cytidylyltransferase
