raw_ids	SYMBOL	GENENAME
NM_001260864	RANBP1	RAN binding protein 1
NM_001194751	SYN3	synapsin III
NM_001257516	SLC25A17	solute carrier family 25 member 17
NM_001260578	DOK5	docking protein 5
NM_001257633	ZFP64	ZFP64 zinc finger protein
NM_001266818	ADNP	activity dependent neuroprotector homeobox
NM_001265653	KCNB1	potassium voltage-gated channel subfamily B member 1
NM_001266308	STAU1	staufen double-stranded RNA binding protein 1
NM_001266851	CTSA	cathepsin A
NM_001257434	SDC4	syndecan 4
NM_001168677	STK4	serine/threonine kinase 4
NM_001194450	PABPC1L	poly(A) binding protein cytoplasmic 1 like
NM_001194458	RIMS4	regulating synaptic membrane exocytosis 4
NM_001265855	MYBL2	MYB proto-oncogene like 2
NM_001265777	ZHX3	zinc fingers and homeoboxes 3
NM_001266512	TOP1	DNA topoisomerase I
NM_001266455	DLGAP4	DLG associated protein 4
NM_001265800	ACSS2	acyl-CoA synthetase short chain family member 2
NM_001243274	BPIFA3	BPI fold containing family A member 3
NM_001194330	BPIFB3	BPI fold containing family B member 3
NM_001260717	BCL2L1	BCL2 like 1
NM_001260877	CSNK2A1	casein kinase 2 alpha 1
NM_001194506	DNAAF9	dynein axonemal assembly factor 9
NM_001266090	PCNA	proliferating cell nuclear antigen
NM_001260687	SHLD1	shieldin complex subunit 1
NM_001257867	PLCB1	phospholipase C beta 1
NM_001194698	LAMP5	lysosomal associated membrane protein family member 5
NM_001260987	PAK5	p21 (RAC1) activated kinase 5
NM_001266025	PCSK2	proprotein convertase subtilisin/kexin type 2
NM_001257559	SNX5	sorting nexin 5
NM_001266658	DTD1	D-aminoacyl-tRNA deacylase 1
NM_001193946	RALGAPA2	Ral GTPase activating protein catalytic subunit alpha 2
NM_001266864	PYGB	glycogen phosphorylase B
NM_001257749	HIRA	histone cell cycle regulator
NM_001159499	TXNRD2	thioredoxin reductase 2
NM_001261588	KLHL22	kelch like family member 22
NM_001261361	SNAP29	synaptosome associated protein 29
NM_001257668	DDT	D-dopachrome tautomerase
NM_001257919	SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like
NM_001194052	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide
NM_001195743	PIWIL3	piwi like RNA-mediated gene silencing 3
NM_001166011	CRYBA4	crystallin beta A4
NM_001266255	NF2	NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor
NM_001194345	ZMAT5	zinc finger matrin-type 5
NM_001032956	TIMP3	TIMP metallopeptidase inhibitor 3
NM_001261516	RBFOX2	RNA binding fox-1 homolog 2
NM_001265807	KCTD17	potassium channel tetramerization domain containing 17
NM_001266018	TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1
NM_001261710	GRAP2	GRB2 related adaptor protein 2
NM_001032885	MCHR1	melanin concentrating hormone receptor 1
NM_001266486	EP300	E1A binding protein p300
NM_001261726	SAMM50	SAMM50 sorting and assembly machinery component
NM_001260745	ATXN10	ataxin 10
NM_001260721	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
NM_001194745	RGS19	regulator of G protein signaling 19
NM_001257499	TCEA2	transcription elongation factor A2
NM_001265842	UCKL1	uridine-cytidine kinase 1 like 1
NM_001257643	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5
NM_001193727	ABHD16B	abhydrolase domain containing 16B
NM_001193505	FNDC11	fibronectin type III domain containing 11
NM_001266949	PPDPF	pancreatic progenitor cell differentiation and proliferation factor
NM_001261226	ARFGAP1	ADP ribosylation factor GTPase activating protein 1
NM_001266576	YTHDF1	YTH N6-methyladenosine RNA binding protein F1
NM_001260739	GID8	GID complex subunit 8 homolog
NM_001260529	ADRM1	ADRM1 26S proteasome ubiquitin receptor
NM_001032898	HRH3	histamine receptor H3
NM_001258089	MTG2	mitochondrial ribosome associated GTPase 2
NM_001261605	LSM14B	LSM family member 14B
NM_001032901	ATP5F1E	ATP synthase F1 subunit epsilon
NM_001257651	STX16	syntaxin 16
NM_001257488	VAPB	VAMP associated protein B and C
NM_001193817	RAB22A	RAB22A, member RAS oncogene family
NM_001193772	CIMIP1	ciliary microtubule inner protein 1
NM_001257471	RBM38	RNA binding motif protein 38
NM_001195028	MTRNR2L3	MT-RNR2 like 3
NM_001193871	RTF2	replication termination factor 2
NM_001193909	CBLN4	cerebellin 4 precursor
NM_001266117	PFDN4	prefoldin subunit 4
NM_001266471	BCAS4	breast carcinoma amplified sequence 4
NM_001258193	PTPN1	protein tyrosine phosphatase non-receptor type 1
NM_001194059	PEDS1	plasmanylethanolamine desaturase 1
NM_001205084	UBE2V1	ubiquitin conjugating enzyme E2 V1
NM_001260963	SPATA2	spermatogenesis associated 2
NM_001257813	CSE1L	chromosome segregation 1 like
NM_001266903	ELMO2	engulfment and cell motility 2
NM_001265862	CD40	CD40 molecule
NM_001194402	NCOA5	nuclear receptor coactivator 5
NM_001266905	MMP9	matrix metallopeptidase 9
NM_001194339	NEURL2	neuralized E3 ubiquitin protein ligase 2
NM_001194340	SPATA25	spermatogenesis associated 25
NM_001266088	ACOT8	acyl-CoA thioesterase 8
NM_001266550	TNNC2	troponin C2, fast skeletal type
NM_001194363	DNTTIP1	deoxynucleotidyltransferase terminal interacting protein 1
NM_001193444	WFDC10A	WAP four-disulfide core domain 10A
NM_001032841	SPINLW1	epididymal peptidase inhibitor
NM_001194416	TP53TG5	TP53 target 5
NM_001194746	SYS1	SYS1 golgi trafficking protein
NM_001168628	MATN4	matrilin 4
NM_001168663	SLPI	secretory leukocyte peptidase inhibitor
NM_001110511	PI3	peptidase inhibitor 3
NM_001168681	WFDC12	WAP four-disulfide core domain 12
NM_001168686	WFDC5	WAP four-disulfide core domain 5
NM_001168626	KCNS1	potassium voltage-gated channel modifier subfamily S member 1
NM_001258344	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
NM_001260972	SERINC3	serine incorporator 3
NM_001265955	TTPAL	alpha tocopherol transfer protein like
NM_001193686	FITM2	fat storage inducing transmembrane protein 2
NM_001257531	GDAP1L1	ganglioside induced differentiation associated protein 1 like 1
NM_001261644	IFT52	intraflagellar transport 52
NM_001193776	EMILIN3	elastin microfibril interfacer 3
NM_001266377	SLC32A1	solute carrier family 32 member 1
NM_001193372	ADIG	adipogenin
NM_001261686	RPRD1B	regulation of nuclear pre-mRNA domain containing 1B
NM_001260601	VSTM2L	V-set and transmembrane domain containing 2 like
NM_001190863	BLCAP	BLCAP apoptosis inducing factor
NM_001261334	SRC	SRC proto-oncogene, non-receptor tyrosine kinase
NM_001266836	MANBAL	mannosidase beta like
NM_001193970	MROH8	maestro heat like repeat family member 8
NM_001194085	TLDC2	TBC/LysM-associated domain containing 2
NM_001258118	DSN1	DSN1 component of MIS12 kinetochore complex
NM_001261124	SLA2	Src like adaptor 2
NM_001190968	C10H20orf24	chromosome 20 open reading frame 24 ortholog
NM_001194747	TGIF2	TGFB induced factor homeobox 2
NM_001190908	SCAND1	SCAN domain containing 1
NM_001190916	ROMO1	reactive oxygen species modulator 1
NM_001032840	RBM12	RNA binding motif protein 12
NM_001267789	CPNE1	copine 1
NM_001194151	FAM83C	family with sequence similarity 83 member C
NM_001261036	EDEM2	ER degradation enhancing alpha-mannosidase like protein 2
NM_001267003	GGT7	gamma-glutamyltransferase 7
NM_001257771	TP53INP2	tumor protein p53 inducible nuclear protein 2
NM_001261138	MAP1LC3A	microtubule associated protein 1 light chain 3 alpha
NM_001266866	EIF2S2	eukaryotic translation initiation factor 2 subunit beta
NM_001266239	SNTA1	syntrophin alpha 1
NM_001243257	BPIFB1	BPI fold containing family B member 1
NM_001040415	BPIFA4	BPI fold containing family A, member 4
NM_001243263	BPIFB4	BPI fold containing family B member 4
NM_001266800	MAPRE1	microtubule associated protein RP/EB family member 1
NM_001266387	KIF3B	kinesin family member 3B
NM_001260631	TM9SF4	transmembrane 9 superfamily member 4
NM_001265982	PDRG1	p53 and DNA damage regulated 1
NM_001190859	FOXS1	forkhead box S1
NM_001194480	COX4I2	cytochrome c oxidase subunit 4I2
NM_001266351	ID1	inhibitor of DNA binding 1
NM_001257420	HM13	histocompatibility minor 13
NM_001032908	DEFB119	defensin beta 119
NM_001037344	DEFB118	defensin beta 118
NM_001194510	DEFB129	defensin beta 129
NM_001194530	NRSN2	neurensin 2
NM_001266297	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1
NM_001194557	SRXN1	sulfiredoxin 1
NM_001194561	SLC52A3	solute carrier family 52 member 3
NM_001194414	C10H20orf202	chromosome 10 C20orf202 homolog
NM_001257254	FKBP1A	FKBP prolyl isomerase 1A
NM_001266663	NSFL1C	NSFL1 cofactor
NM_001257884	PDYN	prodynorphin
