raw_ids	SYMBOL	GENENAME
NM_001040305	brat1	BRCA1-associated ATM activator 1
NM_001287204	iqce	IQ motif containing E
NM_001008591	tspan5b	tetraspanin 5b
NM_001328436	slc24a2	solute carrier family 24 member 2
NM_001076589	saraf	store-operated calcium entry-associated regulatory factor
NM_001082799	pla2g12a	phospholipase A2, group XIIA
NM_200471	xpa	xeroderma pigmentosum, complementation group A
NM_212970	mttp	microsomal triglyceride transfer protein
NM_001327899	spink4	serine peptidase inhibitor, Kazal type 4
NM_001017730	b4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1
NM_213105	tdrd7a	tudor domain containing 7 a
NM_001099343	tdrd7a	tudor domain containing 7 a
NM_001002459	cplx2a	complexin 2a
NM_206829	nansa	N-acetylneuraminic acid synthase a
NM_213045	clta	clathrin, light chain A
NM_200896	zgc:77739	zgc:77739
NM_212571	pcdh10a	protocadherin 10a
NM_001115058	pcdh18a	protocadherin 18a
NM_199219	elf2b	E74-like factor 2b (ets domain transcription factor)
NM_001002542	camk2d2	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta 2
NM_001020725	crmp1	collapsin response mediator protein 1
NM_001006042	fip1l1b	FIP1 like 1b (S. cerevisiae)
NM_201120	chic2	cysteine-rich hydrophobic domain 2
NM_001328068	LOC553528	OCIA domain-containing protein 1-like
NM_131624	slc34a2a	solute carrier family 34 member 2a
NM_198878	rbpja	recombination signal binding protein for immunoglobulin kappa J region a
NM_001076622	itln1	intelectin 1
NM_001045485	pi4k2b	phosphatidylinositol 4-kinase type 2 beta
NM_001037103	fgf20a	fibroblast growth factor 20a
NM_199990	vps37a	VPS37A subunit of ESCRT-I
NM_001030126	mtmr7b	myotubularin related protein 7b
NM_200577	asah1b	N-acylsphingosine amidohydrolase (acid ceramidase) 1b
NM_001017793	frg1	FSHD region gene 1
NM_131877	casp3a	caspase 3, apoptosis-related cysteine peptidase a
NM_207065	helt	helt bHLH transcription factor
NM_214702	slc25a4	solute carrier family 25 member 4
NM_212778	cfap97	cilia and flagella associated protein 97
NM_001145614	ankrd37	ankyrin repeat domain 37
NM_198810	ufsp2	ufm1-specific peptidase 2
NM_001024376	pdlim3a	PDZ and LIM domain 3a
NM_001013269	tlr3	toll-like receptor 3
NM_001077602	cyp4v2a	cytochrome P450, family 4, subfamily V, member 2a
NM_131393	mtnr1aa	melatonin receptor 1A a
NM_001170942	klhl5	kelch-like family member 5
NM_001089478	fam114a1	family with sequence similarity 114 member A1
NM_212886	pgm2	phosphoglucomutase 2
NM_200755	slc25a51a	solute carrier family 25 member 51a
NM_001161335	zgc:195282	zgc:195282
NM_001305559	zgc:195282	zgc:195282
NM_001145703	phox2ba	paired like homeobox 2Ba
NM_001006077	exosc9	exosome component 9
NM_001098769	ptprdb	protein tyrosine phosphatase receptor type Db
NM_001002749	tyrp1b	tyrosinase-related protein 1b
NM_001114847	lap3	leucine aminopeptidase 3
NM_178295	clockb	clock circadian regulator b
NM_001114848	exoc1l	exocyst complex component 1 like
NM_199542	smc2	structural maintenance of chromosomes 2
NM_001162486	ecpas	Ecm29 proteasome adaptor and scaffold
NM_001020704	polr1e	RNA polymerase I subunit E
NM_001297547	apela	apelin receptor early endogenous ligand
NM_001177745	tma16	translation machinery associated 16 homolog
NM_205685	grhprb	glyoxylate reductase/hydroxypyruvate reductase b
NM_207071	mettl14	methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit
NM_001327988	spock3	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3
NM_001327987	spock3	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3
NM_131010	tll1	tolloid-like 1
NM_214810	cpe	carboxypeptidase E
NM_213353	msmo1	methylsterol monooxygenase 1
NM_001007770	med28	mediator complex subunit 28
NM_001003999	tmem144a	transmembrane protein 144a
NM_131781	glrba	glycine receptor, beta a
NM_200330	ncapd3	non-SMC condensin II complex, subunit D3
NM_001037378	primpol	primase and polymerase (DNA-directed)
NM_206888	melk	maternal embryonic leucine zipper kinase
NM_001083851	kdm4c	lysine (K)-specific demethylase 4C
NM_201220	chrnb3a	cholinergic receptor nicotinic beta 3 subunit a
NM_001042684	chrna6	cholinergic receptor, nicotinic, alpha 6
NM_201477	uchl1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
NM_181757	anxa5b	annexin A5b
NM_001089526	fgfbp2b	fibroblast growth factor binding protein 2b
NM_200397	zmynd10	zinc finger, MYND-type containing 10
NM_198071	prom1b	prominin 1 b
NM_001123250	tapt1b	transmembrane anterior posterior transformation 1b
NM_001020698	qdprb.1	quinoid dihydropteridine reductase b, tandem duplicate 1
NM_212731	gtf2e2	general transcription factor IIE, polypeptide 2, beta
NM_001303054	smim18	small integral membrane protein 18
NM_001089491	rfc1	replication factor C (activator 1) 1
NM_001003861	rpl9	ribosomal protein L9
NM_001110401	lias	lipoic acid synthetase
NM_001110402	ugdh	UDP-glucose 6-dehydrogenase
NM_205602	smim14	small integral membrane protein 14
NM_001008611	ube2kb	ubiquitin-conjugating enzyme E2Kb (UBC1 homolog, yeast)
NM_001079967	n4bp2	NEDD4 binding protein 2
NM_001327973	rhoh	ras homolog family member H
NM_001201530	fam184b	family with sequence similarity 184 member B
NM_001256205	ncapg	non-SMC condensin I complex, subunit G
NM_152975	mab21l2	mab-21-like 2
NM_200059	rps3a	ribosomal protein S3A
NM_001020773	sh3d19	SH3 domain containing 19
NM_001013446	gatb	glutamyl-tRNA(Gln) amidotransferase, subunit B
NM_200771	dctpp1	dCTP pyrophosphatase 1
NM_001003597	mnd1	meiotic nuclear divisions 1 homolog (S. cerevisiae)
NM_001014371	trim2a	tripartite motif containing 2a
NM_213368	arfip1	ADP-ribosylation factor interacting protein 1 (arfaptin 1)
NM_001077384	sfrp2	secreted frizzled-related protein 2
NM_213440	plrg1	pleiotropic regulator 1
NM_213054	fgg	fibrinogen gamma chain
NM_001204131	lrata	lecithin retinol acyltransferase a
NM_001201411	si:dkey-30k22.5	si:dkey-30k22.5
NM_001278845	map9	microtubule-associated protein 9
NM_001309529	gucy1a1	guanylate cyclase 1 soluble subunit alpha 1
NM_131431	fabp2	fatty acid binding protein 2, intestinal
NM_200854	myoz2b	myozenin 2b
