raw_ids	SYMBOL	GENENAME
NM_138520	Klc3	kinesin light chain 3
NM_012530	Ckm	creatine kinase, M-type
NM_001191071	Mark4	microtubule affinity regulating kinase 4
NM_001109410	Trappc6a	trafficking protein particle complex subunit 6A
NM_001107482	Ppp1r37	protein phosphatase 1, regulatory subunit 37
NM_001109170	Gemin7	gem (nuclear organelle) associated protein 7
NM_001024294	Clasrp	CLK4-associating serine/arginine rich protein
NM_001106232	Clptm1	CLPTM1 regulator of GABA type A receptor forward trafficking
NM_001085352	Apoc2	apolipoprotein C2
NM_001109419	Apoc4	apolipoprotein C4
NM_001270684	Apoe	apolipoprotein E
NM_001270681	Apoe	apolipoprotein E
NM_001270682	Apoe	apolipoprotein E
NM_138828	Apoe	apolipoprotein E
NM_001270683	Apoe	apolipoprotein E
NM_001012064	Nectin2	nectin cell adhesion molecule 2
NM_031752	Bcam	basal cell adhesion molecule (Lutheran blood group)
NM_001034920	Cblc	Cbl proto-oncogene C
NM_001109422	Bcl3	BCL3, transcription coactivator
NM_001169579	Ceacam16	CEA cell adhesion molecule 16, tectorial membrane component
NM_001198970	Ceacam19	CEA cell adhesion molecule 19
NM_017076	Pvr	PVR cell adhesion molecule
NM_001271280	Zfp180	zinc finger protein 180
NM_144757	Zfp180	zinc finger protein 180
NM_001107487	Zfp112	zinc finger protein 112
NM_133323	Zfp111	zinc finger protein 111
NM_001017512	Zfp61	zinc finger protein 61
NM_001037212	Zfp94	zinc finger protein 94
NM_001106233	Tescl	tescalcin-like
NM_001270701	Kcnn4	potassium calcium-activated channel subfamily N member 4
NM_001270702	Kcnn4	potassium calcium-activated channel subfamily N member 4
NM_001270703	Kcnn4	potassium calcium-activated channel subfamily N member 4
NM_023021	Kcnn4	potassium calcium-activated channel subfamily N member 4
NM_001014243	Smg9	SMG9 nonsense mediated mRNA decay factor
NM_001014016	Irgc	immunity related GTPase cinema
NM_017350		
NM_134352	Plaur	plasminogen activator, urokinase receptor
NM_001108476	Zfp428	zinc finger protein 428
NM_001317106	Srrm5	serine/arginine repetitive matrix 5
NM_001135742	Irgq	immunity-related GTPase Q
NM_001107488	Pinlyp	phospholipase A2 inhibitor and Ly6/Plaur domain containing
NM_053435	Xrcc1	X-ray repair cross complementing 1
NM_001107489	Zfp575	zinc finger protein 575
NM_001106234	Ethe1	ETHE1, persulfide dioxygenase
NM_021759	Lypd3	Ly6/Plaur domain containing 3
NM_139037	Tex101	testis expressed 101
NM_001177686	Cd177l2	CD177 molecule like 2
NM_173339	Ceacam4	CEA cell adhesion molecule 4
NM_001110295	Lypd4	Ly6/Plaur domain containing 4
NM_001109140	Dmrtc2	DMRT-like family C2
NM_021694	Arhgef1	Rho guanine nucleotide exchange factor 1
NM_031774	Rabac1	Rab acceptor 1
NM_012506	Atp1a3	ATPase Na+/K+ transporting subunit alpha 3
NM_031508	Grik5	glutamate ionotropic receptor kainate type subunit 5
NM_001024258	Zfp574	zinc finger protein 574
NM_001271204	Pou2f2	POU class 2 homeobox 2
NM_017344	Gsk3a	glycogen synthase kinase 3 alpha
NM_001170335	Erf	Ets2 repressor factor
NM_053654	Pafah1b3	platelet-activating factor acetylhydrolase 1b, catalytic subunit 3
NM_001173428	Prr19	proline rich 19
NM_053628	Megf8	multiple EGF-like-domains 8
NM_001108909	Cnfn	cornifelin
NM_012859	Lipe	lipase E, hormone sensitive type
NM_001107491	Cxcl17	C-X-C motif chemokine ligand 17
NM_001033860	Ceacam1	CEA cell adhesion molecule 1
NM_001033861	Ceacam1	CEA cell adhesion molecule 1
NM_001033862	Ceacam1	CEA cell adhesion molecule 1
NM_031755	Ceacam1	CEA cell adhesion molecule 1
NM_001109453	Erich4	glutamate-rich 4
NM_001009705	Dmac2	distal membrane arm assembly component 2
NM_001107492	B3gnt8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8
NM_012782	Bckdha	branched chain keto acid dehydrogenase E1 subunit alpha
NM_001107493	Exosc5	exosome component 5
NM_001107494	B9d2	B9 domain containing 2
NM_021578	Tgfb1	transforming growth factor, beta 1
NM_001106235	Ccdc97	coiled-coil domain containing 97
NM_001108477	Hnrnpul1	heterogeneous nuclear ribonucleoprotein U-like 1
NM_001107495	Cyp2s1	cytochrome P450, family 2, subfamily s, polypeptide 1
NM_001170329	Lypd10	Ly6/PLAUR domain containing 10
NM_001191948		
NM_001198676	Cyp2b2	cytochrome P450, family 2, subfamily b, polypeptide 2
NM_173294	Cyp2b3	cytochrome P450, family 2, subfamily b, polypeptide 3
NM_198733	Cyp2b21	cytochrome P450, family 2, subfamily b, polypeptide 21
NM_017156	Cyp2b12	cytochrome P450, family 2, subfamily b, polypeptide 12
NM_012787	Cyp2g1	cytochrome P450, family 2, subfamily g, polypeptide 1
NM_012542	Cyp2a3	cytochrome P450, family 2, subfamily a, polypeptide 3
NM_012692	Cyp2a1	cytochrome P450, family 2, subfamily a, polypeptide 1
NM_012693	Cyp2a2	cytochrome P450, family 2, subfamily a, polypeptide 2
NM_019303	Cyp2f4	cytochrome P450, family 2, subfamily f, polypeptide 4
NM_134369	Cyp2t1	cytochrome P450, family 2, subfamily t, polypeptide 1
NM_001004083	Egln2	egl-9 family hypoxia-inducible factor 2
NM_017355	Rab4b	RAB4B, member RAS oncogene family
NM_030852	Mia	MIA SH3 domain containing
NM_001008303	Snrpa	small nuclear ribonucleoprotein polypeptide A
NM_178094	Itpkc	inositol-trisphosphate 3-kinase C
NM_001012065	Coq8b	coenzyme Q8B
NM_001170336	Ltbp4	latent transforming growth factor beta binding protein 4
NM_001271080	Shkbp1	Sh3kbp1 binding protein 1
NM_001100845	Sptbn4	spectrin, beta, non-erythrocytic 4
NM_001106236	Blvrb	biliverdin reductase B
NM_001017513	Sertad3	SERTA domain containing 3
NM_001007735	Sertad1	SERTA domain containing 1
NM_023976	Prx	periaxin
NM_001024776	Hipk4	homeodomain interacting protein kinase 4
NM_001012167	Pld3	phospholipase D family, member 3
NM_001109664	C1h19orf47	similar to human chromosome 19 open reading frame 47
NM_017093	Akt2	AKT serine/threonine kinase 2
NM_001108478	Ttc9b	tetratricopeptide repeat domain 9B
NM_001191621	Map3k10	mitogen activated protein kinase kinase kinase 10
NM_057122	Psmc4	proteasome 26S subunit, ATPase 4
NM_001164657	Fcgbp	Fc gamma binding protein
NM_001164656	Fcgbpl1	Fc fragment of IgG binding protein-like 1
NM_001025643	Fbl	fibrillarin
NM_001107496	Dyrk1b	dual specificity tyrosine phosphorylation regulated kinase 1B
NM_001106238	Pak4	p21 (RAC1) activated kinase 4
NM_001127694	Lrfn1	leucine rich repeat and fibronectin type III domain containing 1
NM_001108910	Lrfn1	leucine rich repeat and fibronectin type III domain containing 1
NM_181091	Gmfg	glia maturation factor, gamma
NM_001107498	Samd4b	sterile alpha motif domain containing 4B
NM_001024898	Paf1	PAF1 homolog, Paf1/RNA polymerase II complex component
NM_001106237	Med29	mediator complex subunit 29
NM_133290	Zfp36	zinc finger protein 36
NM_001134972	Plekhg2	pleckstrin homology and RhoGEF domain containing G2
NM_001169146	Rps16	ribosomal protein S16
NM_001107497	Supt5h	SPT5 homolog, DSIF elongation factor subunit
NM_053666	Dll3	delta like canonical Notch ligand 3
NM_001166396	Selenov	selenoprotein V
NM_001329142	Eid2b	EP300 interacting inhibitor of differentiation 2B
NM_001110491	Fbxo27	F-box protein 27
NM_001013064	Fbxo17	F-box protein 17
NM_001106239	Mrps12	mitochondrial ribosomal protein S12
NM_001106240	Sars2	seryl-tRNA synthetase 2, mitochondrial
NM_030867	Nfkbib	NFKB inhibitor beta
NM_001008368	Sirt2	sirtuin 2
NM_001106241	Rinl	Ras and Rab interactor-like
