raw_ids	SYMBOL	GENENAME
NM_001243097	CDIP1	cell death inducing p53 target 1
NM_001071785	ZNF500	zinc finger protein 500
NM_001105239	EMP2	epithelial membrane protein 2
NM_001279940	TEKT5	tektin 5
NM_001009084	PRM2	protamine 2
NM_001246444	MYH11	myosin heavy chain 11
NM_001251992	RPS15A	ribosomal protein S15a
NM_001280427	PDILT	protein disulfide isomerase like, testis expressed
NM_001246482	REXO5	RNA exonuclease 5
NM_001302405	LOC749371	serine/threonine-protein kinase SMG1-like
NM_001246530	UQCRC2	ubiquinol-cytochrome c reductase core protein 2
NM_001246500	DCTN5	dynactin subunit 5
NM_001280447	CHP2	calcineurin like EF-hand protein 2
NM_001280277	KIF22	kinesin family member 22
NM_001280458	HIRIP3	HIRA interacting protein 3
NM_001144833	ALDOA	aldolase, fructose-bisphosphate A
NM_001114731	SEPHS2	selenophosphate synthetase 2
NM_001034169	ITGAL	integrin subunit alpha L
NM_001280324	PRR14	proline rich 14
NM_001246401	CFAP119	cilia and flagella associated protein 119
NM_001251930	VKORC1	vitamin K epoxide reductase complex subunit 1
NM_001194934	ITGAM	integrin subunit alpha M
NM_001246359	SIAH1	siah E3 ubiquitin protein ligase 1
NM_001302438	LOC750069	liver carboxylesterase 1-like
NM_001252594	MT2A	metallothionein 2A
NM_001252596	MT1E	metallothionein 1E
NM_001301277	MT1M	metallothionein 1M
NM_001301278	MT1A	metallothionein 1A
NM_001252595	MT1G	metallothionein 1G
NM_001252040	MT1H	metallothionein 1H
NM_001301279	MT1X	metallothionein 1X
NM_001280479	RSPRY1	ring finger and SPRY domain containing 1
NM_001246458	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein
NM_001246624	CIAPIN1	cytokine induced apoptosis inhibitor 1
NM_001114166	ADGRG1	adhesion G protein-coupled receptor G1
NM_001280499	DRC7	dynein regulatory complex subunit 7
NM_001246627	PRSS54	serine protease 54
NM_001280527	SLC38A7	solute carrier family 38 member 7
NM_001252599		
NM_001246388	NAE1	NEDD8 activating enzyme E1 subunit 1
NM_001280027	DPEP3	dipeptidase 3
NM_001246484	DPEP2	dipeptidase 2
NM_001280052	DUS2	dihydrouridine synthase 2
NM_001280101	UTP4	UTP4 small subunit processome component
NM_001246425	NIP7	nucleolar pre-rRNA processing protein NIP7
NM_001242609	CYB5B	cytochrome b5 type B
NM_001280382	IST1	IST1 factor associated with ESCRT-III
NM_001204058	HP	haptoglobin
NM_001251955	TMEM170A	transmembrane protein 170A
NM_001280213	TERF2IP	TERF2 interacting protein
NM_001280141	CDYL2	chromodomain Y like 2
NM_001280340	ATMIN	ATM interactor
NM_001251915	COX4I1	cytochrome c oxidase subunit 4I1
NM_001246576	MAP1LC3B	microtubule associated protein 1 light chain 3 beta
NM_001279958	TUBB3	tubulin beta 3 class III
NM_001280088	NUP88	nucleoporin 88
NM_001322424	MAPT	microtubule associated protein tau
NM_001280091	VAT1	vesicle amine transport 1
NM_001246383	RAB5C	RAB5C, member RAS oncogene family
NM_001280272	TBC1D3B	TBC1 domain family, member 3B
NM_001246643	CCT6B	chaperonin containing TCP1 subunit 6B
NM_001243845	FAM83G	family with sequence similarity 83 member G
NM_001280188	PRPSAP2	phosphoribosyl pyrophosphate synthetase associated protein 2
NM_001280439	ACSF2	acyl-CoA synthetase family member 2
NM_001280508	AKAP1	A-kinase anchoring protein 1
NM_001242611	VMP1	vacuole membrane protein 1
NM_001246524	PSMC5	proteasome 26S subunit, ATPase 5
NM_001246617	GRB2	growth factor receptor bound protein 2
NM_001279852	PGS1	phosphatidylglycerophosphate synthase 1
NM_001280207	CEP295NL	CEP295 N-terminal like
NM_001279817	MRM3	mitochondrial rRNA methyltransferase 3
NM_001246368	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
NM_001246390	SPATA22	spermatogenesis associated 22
NM_001280416	RNF167	ring finger protein 167
NM_001135645	SLC35G6	solute carrier family 35 member G6
NM_001205129	TNFSF12	TNF superfamily member 12
NM_001205130	TNFSF13	TNF superfamily member 13
NM_001205128	SENP3	SUMO specific peptidase 3
NM_001098575	EIF4A1	eukaryotic translation initiation factor 4A1
NM_001280058	WRAP53	WD repeat containing antisense to TP53
NM_001247981	NAA38	N-alpha-acetyltransferase 38, NatC auxiliary subunit
NM_001246403	PHB1	prohibitin 1
NM_001246386	CALCOCO2	calcium binding and coiled-coil domain 2
NM_001246380	SNX11	sorting nexin 11
NM_001252558	CBX1	chromobox 1
NM_001279879	CDK5RAP3	CDK5 regulatory subunit associated protein 3
